strategy,id,question,expected_pages,retrieved_pages,retrieved_scores,top_score,page_hit_at_3,mrr,num_chunks,avg_chunk_tokens
sentence_15_no_overlap,A001,Which six classes of nutrients are required for the body to function and maintain overall health?,[4],"[4, 10, 9]","[0.8033629655838013, 0.7745763659477234, 0.7541247606277466]",0.8033629655838013,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A002,What is a macronutrient?,[5],"[5, 7, 477]","[0.7920447587966919, 0.7379722595214844, 0.707442045211792]",0.7920447587966919,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A003,What does the term Calorie on a Nutrition Facts label actually represent?,"[264, 735, 726, 5]","[264, 726, 735]","[0.7435973882675171, 0.7383255958557129, 0.7333135604858398]",0.7435973882675171,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A004,Why is water considered a required macronutrient even though it does not provide energy?,"[5, 7]","[7, 5, 265]","[0.8010458946228027, 0.7867315411567688, 0.7388918995857239]",0.8010458946228027,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A005,Why are nutrient-dense foods considered higher-quality foods?,[13],"[554, 36, 266]","[0.7913213968276978, 0.7610929012298584, 0.7512273788452148]",0.7913213968276978,False,0.0,1212,276.644595709571
sentence_15_no_overlap,A006,List the common metric prefixes and amounts used in nutrition measurement.,[16],"[16, 264, 644]","[0.8050490617752075, 0.6978741884231567, 0.6945151090621948]",0.8050490617752075,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A007,How do dietary habits and other lifestyle factors work together to influence health?,[19],"[19, 23, 35]","[0.80754554271698, 0.7737694978713989, 0.7517246007919312]",0.80754554271698,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A008,What is an epidemiological study in nutrition research?,[26],"[26, 30, 26]","[0.7957245707511902, 0.7245461940765381, 0.7005224227905273]",0.7957245707511902,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A009,How do epidemiological studies and intervention clinical trials differ in what they can show?,[26],"[26, 32, 843]","[0.7920306324958801, 0.6592346429824829, 0.6409152746200562]",0.7920306324958801,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A010,Why is one nutrition study usually not enough to make a guideline or recommendation?,[30],"[756, 755, 31]","[0.7390801906585693, 0.7267422080039978, 0.7133397459983826]",0.7390801906585693,False,0.0,1212,276.644595709571
sentence_15_no_overlap,A011,Why should a reader trace nutrition news back to the original journal article when possible?,[32],"[32, 31, 33]","[0.7520191669464111, 0.7457966208457947, 0.7169464230537415]",0.7520191669464111,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A012,What are the ABCD methods used for nutritional assessment?,[27],"[27, 29, 28]","[0.8209978938102722, 0.7324869632720947, 0.6976456046104431]",0.8209978938102722,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A013,How does the history of iodine and goiter illustrate an evidence-based approach to nutrition?,"[39, 40, 41]","[39, 41, 39]","[0.8567717671394348, 0.8363189697265625, 0.7855596542358398]",0.8567717671394348,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A014,What is digestion?,[53],"[53, 60, 126]","[0.7858691811561584, 0.735089898109436, 0.705942690372467]",0.7858691811561584,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A015,List the hollow tube-shaped organs that make up the digestive system.,[53],"[53, 51, 60]","[0.7140624523162842, 0.6726384162902832, 0.6654564142227173]",0.7140624523162842,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A016,What is chyme?,[57],"[57, 57, 190]","[0.7051248550415039, 0.5636333227157593, 0.5614526867866516]",0.7051248550415039,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A017,How does the structure of the small intestine maximize nutrient absorption?,[58],"[58, 59, 60]","[0.8491297364234924, 0.7852275967597961, 0.7766362428665161]",0.8491297364234924,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A018,Why is the urinary system important beyond simply removing wastes?,[86],"[86, 88, 69]","[0.8098409175872803, 0.7513154745101929, 0.7120270729064941]",0.8098409175872803,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A019,How are overweight and obesity different?,[103],"[103, 293, 104]","[0.7658501863479614, 0.7397329807281494, 0.721280574798584]",0.7658501863479614,True,1.0,1212,276.644595709571
sentence_15_no_overlap,A020,What components help the immune system defend the body?,[100],"[100, 51, 101]","[0.7612495422363281, 0.7465603947639465, 0.719831109046936]",0.7612495422363281,True,1.0,1212,276.644595709571
