final_k,question_type,n,passed_questions,pass_rate,mean_answer_correctness,mean_faithfulness,mean_page_recall,all_pages_rate
3,calculation,5,5,1.0,1.0,1.0,1.0,1.0
5,calculation,5,4,0.8,0.9199999999999999,1.0,1.0,1.0
3,comparison,20,20,1.0,0.9949999999999999,1.0,0.8833333333333334,0.75
5,comparison,20,20,1.0,1.0,0.97,0.9583333333333334,0.9
3,definition,15,15,1.0,1.0,1.0,0.9777777777777777,0.9333333333333333
5,definition,15,15,1.0,1.0,1.0,1.0,1.0
3,explanation,28,28,1.0,1.0,1.0,1.0,1.0
5,explanation,28,28,1.0,0.9964285714285713,1.0,1.0,1.0
3,factual,25,25,1.0,1.0,1.0,0.98,0.92
5,factual,25,25,1.0,1.0,1.0,1.0,1.0
3,list,17,15,0.8823529411764706,0.9176470588235294,1.0,0.9264705882352942,0.8823529411764706
5,list,17,16,0.9411764705882353,0.9647058823529411,0.9764705882352942,0.9558823529411765,0.9411764705882353
3,multi_hop,20,20,1.0,0.9800000000000001,0.9949999999999999,0.925,0.85
5,multi_hop,20,20,1.0,1.0,0.99,0.95,0.9
3,scenario,10,9,0.9,0.96,1.0,0.9666666666666666,0.9
5,scenario,10,10,1.0,0.99,0.99,0.9666666666666666,0.9
